Market,Selection,BidType,Odds,Stake,ProfitLoss,Date 
19 November  / Man Utd v Arsenal / Over/Under 2.5 Goals,Over 2.5 Goals,Lay,8,2.74,2.74,11/19/2016
19 November  / Deportivo v Sevilla / Match Odds,Deportivo,Lay,1.42,10,10,11/19/2016
19 November  / C Palace v Man City / Over/Under 3.5 Goals,Over 3.5 Goals,Back,2.36,5,-5,11/19/2016
19 November  / Man Utd v Arsenal / Over/Under 2.5 Goals,Over 2.5 Goals,Back,3.22,7,-7,11/19/2016
20 November  / Middlesbrough v Chelsea / Match Odds,Chelsea,Lay,1.15,0.17,-0.03,11/20/2016
20 November  / Middlesbrough v Chelsea / Match Odds,Chelsea,Lay,1.15,27.06,-4.06,11/20/2016
20 November  / Crotone v Torino / Match Odds,Crotone,Lay,5.3,5,5,11/20/2016
20 November  / Middlesbrough v Chelsea / Match Odds,Chelsea,Back,1.57,20,11.4,11/20/2016
22 November / Sporting Lisbon v Real Madrid / Match Odds,Real Madrid,Lay,1.08,8.94,-0.72,11/22/2016
22 November / Sevilla v Juventus / Match Odds,Juventus,Lay,1.07,14.51,-1.02,11/22/2016
22 November / Sporting Lisbon v Real Madrid / Match Odds,Real Madrid,Back,3.25,3,6.75,11/22/2016
22 November / Monaco v Tottenham / Match Odds,Monaco,Lay,1.21,6.93,-1.46,11/22/2016
22 November / Leicester v Club Brugge / Match Odds,Leicester,Lay,1.16,11.13,-1.78,11/22/2016
22 November / Sevilla v Juventus / Match Odds,Juventus,Back,1.96,2,1.92,11/22/2016
22 November / Sevilla v Juventus / Match Odds,Juventus,Back,1.96,6,5.76,11/22/2016
22 November / Leicester v Club Brugge / Match Odds,Leicester,Lay,1.08,10,-0.8,11/22/2016
22 November / Dinamo Zagreb v Lyon / Match Odds,Lyon,Lay,1.54,9.8,-5.29,11/22/2016
22 November / CSKA Moscow v Leverkusen / Over/Under 2.5 Goals,Under 2.5 Goals,Back,3.05,2,4.1,11/22/2016
22 November / Sevilla v Juventus / Over/Under 1.5 Goals,Under 1.5 Goals,Back,2.88,3,-3,11/22/2016
22 November / Monaco v Tottenham / Match Odds,Monaco,Back,2.82,3,5.46,11/22/2016
22 November / Leicester v Club Brugge / Match Odds,Leicester,Back,1.71,14,9.94,11/22/2016
22 November / Dortmund v Legia Warsaw / Over/Under 3.5 Goals,Over 3.5 Goals,Back,1.8,13,10.4,11/22/2016
22 November / Dinamo Zagreb v Lyon / Match Odds,Lyon,Back,1.52,10,5.2,11/22/2016
22 November / CSKA Moscow v Leverkusen / Over/Under 2.5 Goals,Over 2.5 Goals,Back,2.02,7,-7,11/22/2016
